X,Y,country,nThumbsUp,city,reportRating,confidence,reliability,latitude,globalid,type,uuid,roadType,magvar,subtype,street,reportDescription,objectid,pubMillis,longitude
16.576628,49.184352,EZ,26,Brno,0,5,10,49.184352,{1EA8AF28-47D5-E977-E871-E7256A152BD9},ROAD_CLOSED,34a26411-a906-457d-8749-c2e2a99e7b28,4,126,ROAD_CLOSED_EVENT,,,990985,2023/10/02 20:10:28+00,16.576628
16.60857,49.209608,EZ,15,Brno,0,5,10,49.209608,{D33397A0-BCAE-6417-200A-5948C46E0804},ROAD_CLOSED,a7cc8cae-6d8c-4132-a371-97a947b317dc,4,181,ROAD_CLOSED_EVENT,,,1007000,2023/10/11 20:32:50+00,16.60857
16.570307,49.191452,EZ,40,Brno,0,5,10,49.191452,{9538140B-CD1F-4437-6A3B-EF4A5A56E8F5},ROAD_CLOSED,1c963820-a24b-4d92-82da-c55fd6e19fe9,1,359,ROAD_CLOSED_EVENT,Bauerova,,1023680,2023/10/22 17:00:44+00,16.570307
16.570301,49.19188,EZ,24,Brno,0,5,10,49.19188,{F405BA8F-2DB8-818D-E863-A4FF93217147},ROAD_CLOSED,942ba213-71ea-4122-8912-49fbe241f444,1,305,ROAD_CLOSED_EVENT,Bauerova,,1023685,2023/10/22 17:00:32+00,16.570301
16.569819,49.192106,EZ,45,Brno,0,5,10,49.192106,{239EDCDD-008D-64F7-281E-92BF9237C414},ROAD_CLOSED,20c58856-358f-4531-8b0a-27eff012ec34,1,125,ROAD_CLOSED_EVENT,Bauerova,,1023688,2023/10/22 17:00:44+00,16.569819
16.570301,49.19188,EZ,,Brno,0,0,6,49.19188,{8949B70E-2C7C-5C7C-4E03-CF2BFEC15308},ROAD_CLOSED,6bc50416-a11b-4e9f-8cf1-5c315e9e6835,1,179,ROAD_CLOSED_EVENT,Bauerova,,1023695,2023/10/22 17:00:31+00,16.570301
16.645917,49.19603,EZ,15,Brno,0,5,10,49.19603,{CE12637B-5469-E58D-EBE4-4C18BF17153C},ROAD_CLOSED,a2056102-ba48-405c-b96d-5a550ab7cc79,1,0,ROAD_CLOSED_EVENT,GajdoÅ¡ova,,1046782,2023/11/06 13:01:56+00,16.645917
16.645919,49.196647,EZ,17,Brno,0,5,10,49.196647,{2D736511-DC59-843C-E7E4-4A11BD4FE5AA},ROAD_CLOSED,c6709441-16f5-4f6b-a22b-f4056ff30c42,1,180,ROAD_CLOSED_EVENT,GajdoÅ¡ova,,1046783,2023/11/06 13:01:56+00,16.645919
16.645907,49.197062,EZ,31,Brno,0,5,10,49.197062,{B4D04984-827B-CA54-A3D0-E95DDD661062},ROAD_CLOSED,5aeb4e53-83fa-48cf-a1a2-47031ebfa459,1,178,ROAD_CLOSED_EVENT,GajdoÅ¡ova,,1046784,2023/11/06 13:01:56+00,16.645907
16.645917,49.19603,EZ,12,Brno,0,5,10,49.19603,{52F55816-CD89-5026-1543-7E162C34B8C6},ROAD_CLOSED,6cbd998b-fab1-4b01-8a1a-63d48644824a,1,179,ROAD_CLOSED_EVENT,GajdoÅ¡ova,,1046785,2023/11/06 13:01:56+00,16.645917
